id_date,jour,mois,trimestre,annee,semaine,libelle_jour,libelle_mois,est_weekend,est_ferie_maroc,periode_ramadan
20200101,1,1,1,2020,1,Wednesday,January,False,True,False
20200102,2,1,1,2020,1,Thursday,January,False,False,False
20200103,3,1,1,2020,1,Friday,January,False,False,False
20200104,4,1,1,2020,1,Saturday,January,True,False,False
20200105,5,1,1,2020,1,Sunday,January,True,False,False
20200106,6,1,1,2020,2,Monday,January,False,False,False
20200107,7,1,1,2020,2,Tuesday,January,False,False,False
20200108,8,1,1,2020,2,Wednesday,January,False,False,False
20200109,9,1,1,2020,2,Thursday,January,False,False,False
20200110,10,1,1,2020,2,Friday,January,False,False,False
20200111,11,1,1,2020,2,Saturday,January,True,True,False
20200112,12,1,1,2020,2,Sunday,January,True,False,False
20200113,13,1,1,2020,3,Monday,January,False,False,False
20200114,14,1,1,2020,3,Tuesday,January,False,False,False
20200115,15,1,1,2020,3,Wednesday,January,False,False,False
20200116,16,1,1,2020,3,Thursday,January,False,False,False
20200117,17,1,1,2020,3,Friday,January,False,False,False
20200118,18,1,1,2020,3,Saturday,January,True,False,False
20200119,19,1,1,2020,3,Sunday,January,True,False,False
20200120,20,1,1,2020,4,Monday,January,False,False,False
20200121,21,1,1,2020,4,Tuesday,January,False,False,False
20200122,22,1,1,2020,4,Wednesday,January,False,False,False
20200123,23,1,1,2020,4,Thursday,January,False,False,False
20200124,24,1,1,2020,4,Friday,January,False,False,False
20200125,25,1,1,2020,4,Saturday,January,True,False,False
20200126,26,1,1,2020,4,Sunday,January,True,False,False
20200127,27,1,1,2020,5,Monday,January,False,False,False
20200128,28,1,1,2020,5,Tuesday,January,False,False,False
20200129,29,1,1,2020,5,Wednesday,January,False,False,False
20200130,30,1,1,2020,5,Thursday,January,False,False,False
20200131,31,1,1,2020,5,Friday,January,False,False,False
20200201,1,2,1,2020,5,Saturday,February,True,False,False
20200202,2,2,1,2020,5,Sunday,February,True,False,False
20200203,3,2,1,2020,6,Monday,February,False,False,False
20200204,4,2,1,2020,6,Tuesday,February,False,False,False
20200205,5,2,1,2020,6,Wednesday,February,False,False,False
20200206,6,2,1,2020,6,Thursday,February,False,False,False
20200207,7,2,1,2020,6,Friday,February,False,False,False
20200208,8,2,1,2020,6,Saturday,February,True,False,False
20200209,9,2,1,2020,6,Sunday,February,True,False,False
20200210,10,2,1,2020,7,Monday,February,False,False,False
20200211,11,2,1,2020,7,Tuesday,February,False,False,False
20200212,12,2,1,2020,7,Wednesday,February,False,False,False
20200213,13,2,1,2020,7,Thursday,February,False,False,False
20200214,14,2,1,2020,7,Friday,February,False,False,False
20200215,15,2,1,2020,7,Saturday,February,True,False,False
20200216,16,2,1,2020,7,Sunday,February,True,False,False
20200217,17,2,1,2020,8,Monday,February,False,False,False
20200218,18,2,1,2020,8,Tuesday,February,False,False,False
20200219,19,2,1,2020,8,Wednesday,February,False,False,False
20200220,20,2,1,2020,8,Thursday,February,False,False,False
20200221,21,2,1,2020,8,Friday,February,False,False,False
20200222,22,2,1,2020,8,Saturday,February,True,False,False
20200223,23,2,1,2020,8,Sunday,February,True,False,False
20200224,24,2,1,2020,9,Monday,February,False,False,False
20200225,25,2,1,2020,9,Tuesday,February,False,False,False
20200226,26,2,1,2020,9,Wednesday,February,False,False,False
20200227,27,2,1,2020,9,Thursday,February,False,False,False
20200228,28,2,1,2020,9,Friday,February,False,False,False
20200229,29,2,1,2020,9,Saturday,February,True,False,False
20200301,1,3,1,2020,9,Sunday,March,True,False,False
20200302,2,3,1,2020,10,Monday,March,False,False,False
20200303,3,3,1,2020,10,Tuesday,March,False,False,False
20200304,4,3,1,2020,10,Wednesday,March,False,False,False
20200305,5,3,1,2020,10,Thursday,March,False,False,False
20200306,6,3,1,2020,10,Friday,March,False,False,False
20200307,7,3,1,2020,10,Saturday,March,True,False,False
20200308,8,3,1,2020,10,Sunday,March,True,False,False
20200309,9,3,1,2020,11,Monday,March,False,False,False
20200310,10,3,1,2020,11,Tuesday,March,False,False,False
20200311,11,3,1,2020,11,Wednesday,March,False,False,False
20200312,12,3,1,2020,11,Thursday,March,False,False,False
20200313,13,3,1,2020,11,Friday,March,False,False,False
20200314,14,3,1,2020,11,Saturday,March,True,False,False
20200315,15,3,1,2020,11,Sunday,March,True,False,False
20200316,16,3,1,2020,12,Monday,March,False,False,False
20200317,17,3,1,2020,12,Tuesday,March,False,False,False
20200318,18,3,1,2020,12,Wednesday,March,False,False,False
20200319,19,3,1,2020,12,Thursday,March,False,False,False
20200320,20,3,1,2020,12,Friday,March,False,False,False
20200321,21,3,1,2020,12,Saturday,March,True,False,False
20200322,22,3,1,2020,12,Sunday,March,True,False,False
20200323,23,3,1,2020,13,Monday,March,False,False,False
20200324,24,3,1,2020,13,Tuesday,March,False,False,False
20200325,25,3,1,2020,13,Wednesday,March,False,False,False
20200326,26,3,1,2020,13,Thursday,March,False,False,False
20200327,27,3,1,2020,13,Friday,March,False,False,False
20200328,28,3,1,2020,13,Saturday,March,True,False,False
20200329,29,3,1,2020,13,Sunday,March,True,False,False
20200330,30,3,1,2020,14,Monday,March,False,False,False
20200331,31,3,1,2020,14,Tuesday,March,False,False,False
20200401,1,4,2,2020,14,Wednesday,April,False,False,False
20200402,2,4,2,2020,14,Thursday,April,False,False,False
20200403,3,4,2,2020,14,Friday,April,False,False,False
20200404,4,4,2,2020,14,Saturday,April,True,False,False
20200405,5,4,2,2020,14,Sunday,April,True,False,False
20200406,6,4,2,2020,15,Monday,April,False,False,False
20200407,7,4,2,2020,15,Tuesday,April,False,False,False
20200408,8,4,2,2020,15,Wednesday,April,False,False,False
20200409,9,4,2,2020,15,Thursday,April,False,False,False
20200410,10,4,2,2020,15,Friday,April,False,False,False
20200411,11,4,2,2020,15,Saturday,April,True,False,False
20200412,12,4,2,2020,15,Sunday,April,True,False,False
20200413,13,4,2,2020,16,Monday,April,False,False,False
20200414,14,4,2,2020,16,Tuesday,April,False,False,False
20200415,15,4,2,2020,16,Wednesday,April,False,False,False
20200416,16,4,2,2020,16,Thursday,April,False,False,False
20200417,17,4,2,2020,16,Friday,April,False,False,False
20200418,18,4,2,2020,16,Saturday,April,True,False,False
20200419,19,4,2,2020,16,Sunday,April,True,False,False
20200420,20,4,2,2020,17,Monday,April,False,False,False
20200421,21,4,2,2020,17,Tuesday,April,False,False,False
20200422,22,4,2,2020,17,Wednesday,April,False,False,False
20200423,23,4,2,2020,17,Thursday,April,False,False,False
20200424,24,4,2,2020,17,Friday,April,False,False,True
20200425,25,4,2,2020,17,Saturday,April,True,False,True
20200426,26,4,2,2020,17,Sunday,April,True,False,True
20200427,27,4,2,2020,18,Monday,April,False,False,True
20200428,28,4,2,2020,18,Tuesday,April,False,False,True
20200429,29,4,2,2020,18,Wednesday,April,False,False,True
20200430,30,4,2,2020,18,Thursday,April,False,False,True
20200501,1,5,2,2020,18,Friday,May,False,True,True
20200502,2,5,2,2020,18,Saturday,May,True,False,True
20200503,3,5,2,2020,18,Sunday,May,True,False,True
20200504,4,5,2,2020,19,Monday,May,False,False,True
20200505,5,5,2,2020,19,Tuesday,May,False,False,True
20200506,6,5,2,2020,19,Wednesday,May,False,False,True
20200507,7,5,2,2020,19,Thursday,May,False,False,True
20200508,8,5,2,2020,19,Friday,May,False,False,True
20200509,9,5,2,2020,19,Saturday,May,True,False,True
20200510,10,5,2,2020,19,Sunday,May,True,False,True
20200511,11,5,2,2020,20,Monday,May,False,False,True
20200512,12,5,2,2020,20,Tuesday,May,False,False,True
20200513,13,5,2,2020,20,Wednesday,May,False,False,True
20200514,14,5,2,2020,20,Thursday,May,False,False,True
20200515,15,5,2,2020,20,Friday,May,False,False,True
20200516,16,5,2,2020,20,Saturday,May,True,False,True
20200517,17,5,2,2020,20,Sunday,May,True,False,True
20200518,18,5,2,2020,21,Monday,May,False,False,True
20200519,19,5,2,2020,21,Tuesday,May,False,False,True
20200520,20,5,2,2020,21,Wednesday,May,False,False,True
20200521,21,5,2,2020,21,Thursday,May,False,False,True
20200522,22,5,2,2020,21,Friday,May,False,False,True
20200523,23,5,2,2020,21,Saturday,May,True,False,True
20200524,24,5,2,2020,21,Sunday,May,True,False,False
20200525,25,5,2,2020,22,Monday,May,False,False,False
20200526,26,5,2,2020,22,Tuesday,May,False,False,False
20200527,27,5,2,2020,22,Wednesday,May,False,False,False
20200528,28,5,2,2020,22,Thursday,May,False,False,False
20200529,29,5,2,2020,22,Friday,May,False,False,False
20200530,30,5,2,2020,22,Saturday,May,True,False,False
20200531,31,5,2,2020,22,Sunday,May,True,False,False
20200601,1,6,2,2020,23,Monday,June,False,False,False
20200602,2,6,2,2020,23,Tuesday,June,False,False,False
20200603,3,6,2,2020,23,Wednesday,June,False,False,False
20200604,4,6,2,2020,23,Thursday,June,False,False,False
20200605,5,6,2,2020,23,Friday,June,False,False,False
20200606,6,6,2,2020,23,Saturday,June,True,False,False
20200607,7,6,2,2020,23,Sunday,June,True,False,False
20200608,8,6,2,2020,24,Monday,June,False,False,False
20200609,9,6,2,2020,24,Tuesday,June,False,False,False
20200610,10,6,2,2020,24,Wednesday,June,False,False,False
20200611,11,6,2,2020,24,Thursday,June,False,False,False
20200612,12,6,2,2020,24,Friday,June,False,False,False
20200613,13,6,2,2020,24,Saturday,June,True,False,False
20200614,14,6,2,2020,24,Sunday,June,True,False,False
20200615,15,6,2,2020,25,Monday,June,False,False,False
20200616,16,6,2,2020,25,Tuesday,June,False,False,False
20200617,17,6,2,2020,25,Wednesday,June,False,False,False
20200618,18,6,2,2020,25,Thursday,June,False,False,False
20200619,19,6,2,2020,25,Friday,June,False,False,False
20200620,20,6,2,2020,25,Saturday,June,True,False,False
20200621,21,6,2,2020,25,Sunday,June,True,False,False
20200622,22,6,2,2020,26,Monday,June,False,False,False
20200623,23,6,2,2020,26,Tuesday,June,False,False,False
20200624,24,6,2,2020,26,Wednesday,June,False,False,False
20200625,25,6,2,2020,26,Thursday,June,False,False,False
20200626,26,6,2,2020,26,Friday,June,False,False,False
20200627,27,6,2,2020,26,Saturday,June,True,False,False
20200628,28,6,2,2020,26,Sunday,June,True,False,False
20200629,29,6,2,2020,27,Monday,June,False,False,False
20200630,30,6,2,2020,27,Tuesday,June,False,False,False
20200701,1,7,3,2020,27,Wednesday,July,False,False,False
20200702,2,7,3,2020,27,Thursday,July,False,False,False
20200703,3,7,3,2020,27,Friday,July,False,False,False
20200704,4,7,3,2020,27,Saturday,July,True,False,False
20200705,5,7,3,2020,27,Sunday,July,True,False,False
20200706,6,7,3,2020,28,Monday,July,False,False,False
20200707,7,7,3,2020,28,Tuesday,July,False,False,False
20200708,8,7,3,2020,28,Wednesday,July,False,False,False
20200709,9,7,3,2020,28,Thursday,July,False,False,False
20200710,10,7,3,2020,28,Friday,July,False,False,False
20200711,11,7,3,2020,28,Saturday,July,True,False,False
20200712,12,7,3,2020,28,Sunday,July,True,False,False
20200713,13,7,3,2020,29,Monday,July,False,False,False
20200714,14,7,3,2020,29,Tuesday,July,False,False,False
20200715,15,7,3,2020,29,Wednesday,July,False,False,False
20200716,16,7,3,2020,29,Thursday,July,False,False,False
20200717,17,7,3,2020,29,Friday,July,False,False,False
20200718,18,7,3,2020,29,Saturday,July,True,False,False
20200719,19,7,3,2020,29,Sunday,July,True,False,False
20200720,20,7,3,2020,30,Monday,July,False,False,False
20200721,21,7,3,2020,30,Tuesday,July,False,False,False
20200722,22,7,3,2020,30,Wednesday,July,False,False,False
20200723,23,7,3,2020,30,Thursday,July,False,False,False
20200724,24,7,3,2020,30,Friday,July,False,False,False
20200725,25,7,3,2020,30,Saturday,July,True,False,False
20200726,26,7,3,2020,30,Sunday,July,True,False,False
20200727,27,7,3,2020,31,Monday,July,False,False,False
20200728,28,7,3,2020,31,Tuesday,July,False,False,False
20200729,29,7,3,2020,31,Wednesday,July,False,False,False
20200730,30,7,3,2020,31,Thursday,July,False,True,False
20200731,31,7,3,2020,31,Friday,July,False,False,False
20200801,1,8,3,2020,31,Saturday,August,True,False,False
20200802,2,8,3,2020,31,Sunday,August,True,False,False
20200803,3,8,3,2020,32,Monday,August,False,False,False
20200804,4,8,3,2020,32,Tuesday,August,False,False,False
20200805,5,8,3,2020,32,Wednesday,August,False,False,False
20200806,6,8,3,2020,32,Thursday,August,False,False,False
20200807,7,8,3,2020,32,Friday,August,False,False,False
20200808,8,8,3,2020,32,Saturday,August,True,False,False
20200809,9,8,3,2020,32,Sunday,August,True,False,False
20200810,10,8,3,2020,33,Monday,August,False,False,False
20200811,11,8,3,2020,33,Tuesday,August,False,False,False
20200812,12,8,3,2020,33,Wednesday,August,False,False,False
20200813,13,8,3,2020,33,Thursday,August,False,False,False
20200814,14,8,3,2020,33,Friday,August,False,True,False
20200815,15,8,3,2020,33,Saturday,August,True,False,False
20200816,16,8,3,2020,33,Sunday,August,True,False,False
20200817,17,8,3,2020,34,Monday,August,False,False,False
20200818,18,8,3,2020,34,Tuesday,August,False,False,False
20200819,19,8,3,2020,34,Wednesday,August,False,False,False
20200820,20,8,3,2020,34,Thursday,August,False,True,False
20200821,21,8,3,2020,34,Friday,August,False,True,False
20200822,22,8,3,2020,34,Saturday,August,True,False,False
20200823,23,8,3,2020,34,Sunday,August,True,False,False
20200824,24,8,3,2020,35,Monday,August,False,False,False
20200825,25,8,3,2020,35,Tuesday,August,False,False,False
20200826,26,8,3,2020,35,Wednesday,August,False,False,False
20200827,27,8,3,2020,35,Thursday,August,False,False,False
20200828,28,8,3,2020,35,Friday,August,False,False,False
20200829,29,8,3,2020,35,Saturday,August,True,False,False
20200830,30,8,3,2020,35,Sunday,August,True,False,False
20200831,31,8,3,2020,36,Monday,August,False,False,False
20200901,1,9,3,2020,36,Tuesday,September,False,False,False
20200902,2,9,3,2020,36,Wednesday,September,False,False,False
20200903,3,9,3,2020,36,Thursday,September,False,False,False
20200904,4,9,3,2020,36,Friday,September,False,False,False
20200905,5,9,3,2020,36,Saturday,September,True,False,False
20200906,6,9,3,2020,36,Sunday,September,True,False,False
20200907,7,9,3,2020,37,Monday,September,False,False,False
20200908,8,9,3,2020,37,Tuesday,September,False,False,False
20200909,9,9,3,2020,37,Wednesday,September,False,False,False
20200910,10,9,3,2020,37,Thursday,September,False,False,False
20200911,11,9,3,2020,37,Friday,September,False,False,False
20200912,12,9,3,2020,37,Saturday,September,True,False,False
20200913,13,9,3,2020,37,Sunday,September,True,False,False
20200914,14,9,3,2020,38,Monday,September,False,False,False
20200915,15,9,3,2020,38,Tuesday,September,False,False,False
20200916,16,9,3,2020,38,Wednesday,September,False,False,False
20200917,17,9,3,2020,38,Thursday,September,False,False,False
20200918,18,9,3,2020,38,Friday,September,False,False,False
20200919,19,9,3,2020,38,Saturday,September,True,False,False
20200920,20,9,3,2020,38,Sunday,September,True,False,False
20200921,21,9,3,2020,39,Monday,September,False,False,False
20200922,22,9,3,2020,39,Tuesday,September,False,False,False
20200923,23,9,3,2020,39,Wednesday,September,False,False,False
20200924,24,9,3,2020,39,Thursday,September,False,False,False
20200925,25,9,3,2020,39,Friday,September,False,False,False
20200926,26,9,3,2020,39,Saturday,September,True,False,False
20200927,27,9,3,2020,39,Sunday,September,True,False,False
20200928,28,9,3,2020,40,Monday,September,False,False,False
20200929,29,9,3,2020,40,Tuesday,September,False,False,False
20200930,30,9,3,2020,40,Wednesday,September,False,False,False
20201001,1,10,4,2020,40,Thursday,October,False,False,False
20201002,2,10,4,2020,40,Friday,October,False,False,False
20201003,3,10,4,2020,40,Saturday,October,True,False,False
20201004,4,10,4,2020,40,Sunday,October,True,False,False
20201005,5,10,4,2020,41,Monday,October,False,False,False
20201006,6,10,4,2020,41,Tuesday,October,False,False,False
20201007,7,10,4,2020,41,Wednesday,October,False,False,False
20201008,8,10,4,2020,41,Thursday,October,False,False,False
20201009,9,10,4,2020,41,Friday,October,False,False,False
20201010,10,10,4,2020,41,Saturday,October,True,False,False
20201011,11,10,4,2020,41,Sunday,October,True,False,False
20201012,12,10,4,2020,42,Monday,October,False,False,False
20201013,13,10,4,2020,42,Tuesday,October,False,False,False
20201014,14,10,4,2020,42,Wednesday,October,False,False,False
20201015,15,10,4,2020,42,Thursday,October,False,False,False
20201016,16,10,4,2020,42,Friday,October,False,False,False
20201017,17,10,4,2020,42,Saturday,October,True,False,False
20201018,18,10,4,2020,42,Sunday,October,True,False,False
20201019,19,10,4,2020,43,Monday,October,False,False,False
20201020,20,10,4,2020,43,Tuesday,October,False,False,False
20201021,21,10,4,2020,43,Wednesday,October,False,False,False
20201022,22,10,4,2020,43,Thursday,October,False,False,False
20201023,23,10,4,2020,43,Friday,October,False,False,False
20201024,24,10,4,2020,43,Saturday,October,True,False,False
20201025,25,10,4,2020,43,Sunday,October,True,False,False
20201026,26,10,4,2020,44,Monday,October,False,False,False
20201027,27,10,4,2020,44,Tuesday,October,False,False,False
20201028,28,10,4,2020,44,Wednesday,October,False,False,False
20201029,29,10,4,2020,44,Thursday,October,False,False,False
20201030,30,10,4,2020,44,Friday,October,False,False,False
20201031,31,10,4,2020,44,Saturday,October,True,False,False
20201101,1,11,4,2020,44,Sunday,November,True,False,False
20201102,2,11,4,2020,45,Monday,November,False,False,False
20201103,3,11,4,2020,45,Tuesday,November,False,False,False
20201104,4,11,4,2020,45,Wednesday,November,False,False,False
20201105,5,11,4,2020,45,Thursday,November,False,False,False
20201106,6,11,4,2020,45,Friday,November,False,True,False
20201107,7,11,4,2020,45,Saturday,November,True,False,False
20201108,8,11,4,2020,45,Sunday,November,True,False,False
20201109,9,11,4,2020,46,Monday,November,False,False,False
20201110,10,11,4,2020,46,Tuesday,November,False,False,False
20201111,11,11,4,2020,46,Wednesday,November,False,False,False
20201112,12,11,4,2020,46,Thursday,November,False,False,False
20201113,13,11,4,2020,46,Friday,November,False,False,False
20201114,14,11,4,2020,46,Saturday,November,True,False,False
20201115,15,11,4,2020,46,Sunday,November,True,False,False
20201116,16,11,4,2020,47,Monday,November,False,False,False
20201117,17,11,4,2020,47,Tuesday,November,False,False,False
20201118,18,11,4,2020,47,Wednesday,November,False,True,False
20201119,19,11,4,2020,47,Thursday,November,False,False,False
20201120,20,11,4,2020,47,Friday,November,False,False,False
20201121,21,11,4,2020,47,Saturday,November,True,False,False
20201122,22,11,4,2020,47,Sunday,November,True,False,False
20201123,23,11,4,2020,48,Monday,November,False,False,False
20201124,24,11,4,2020,48,Tuesday,November,False,False,False
20201125,25,11,4,2020,48,Wednesday,November,False,False,False
20201126,26,11,4,2020,48,Thursday,November,False,False,False
20201127,27,11,4,2020,48,Friday,November,False,False,False
20201128,28,11,4,2020,48,Saturday,November,True,False,False
20201129,29,11,4,2020,48,Sunday,November,True,False,False
20201130,30,11,4,2020,49,Monday,November,False,False,False
20201201,1,12,4,2020,49,Tuesday,December,False,False,False
20201202,2,12,4,2020,49,Wednesday,December,False,False,False
20201203,3,12,4,2020,49,Thursday,December,False,False,False
20201204,4,12,4,2020,49,Friday,December,False,False,False
20201205,5,12,4,2020,49,Saturday,December,True,False,False
20201206,6,12,4,2020,49,Sunday,December,True,False,False
20201207,7,12,4,2020,50,Monday,December,False,False,False
20201208,8,12,4,2020,50,Tuesday,December,False,False,False
20201209,9,12,4,2020,50,Wednesday,December,False,False,False
20201210,10,12,4,2020,50,Thursday,December,False,False,False
20201211,11,12,4,2020,50,Friday,December,False,False,False
20201212,12,12,4,2020,50,Saturday,December,True,False,False
20201213,13,12,4,2020,50,Sunday,December,True,False,False
20201214,14,12,4,2020,51,Monday,December,False,False,False
20201215,15,12,4,2020,51,Tuesday,December,False,False,False
20201216,16,12,4,2020,51,Wednesday,December,False,False,False
20201217,17,12,4,2020,51,Thursday,December,False,False,False
20201218,18,12,4,2020,51,Friday,December,False,False,False
20201219,19,12,4,2020,51,Saturday,December,True,False,False
20201220,20,12,4,2020,51,Sunday,December,True,False,False
20201221,21,12,4,2020,52,Monday,December,False,False,False
20201222,22,12,4,2020,52,Tuesday,December,False,False,False
20201223,23,12,4,2020,52,Wednesday,December,False,False,False
20201224,24,12,4,2020,52,Thursday,December,False,False,False
20201225,25,12,4,2020,52,Friday,December,False,False,False
20201226,26,12,4,2020,52,Saturday,December,True,False,False
20201227,27,12,4,2020,52,Sunday,December,True,False,False
20201228,28,12,4,2020,53,Monday,December,False,False,False
20201229,29,12,4,2020,53,Tuesday,December,False,False,False
20201230,30,12,4,2020,53,Wednesday,December,False,False,False
20201231,31,12,4,2020,53,Thursday,December,False,False,False
20210101,1,1,1,2021,53,Friday,January,False,True,False
20210102,2,1,1,2021,53,Saturday,January,True,False,False
20210103,3,1,1,2021,53,Sunday,January,True,False,False
20210104,4,1,1,2021,1,Monday,January,False,False,False
20210105,5,1,1,2021,1,Tuesday,January,False,False,False
20210106,6,1,1,2021,1,Wednesday,January,False,False,False
20210107,7,1,1,2021,1,Thursday,January,False,False,False
20210108,8,1,1,2021,1,Friday,January,False,False,False
20210109,9,1,1,2021,1,Saturday,January,True,False,False
20210110,10,1,1,2021,1,Sunday,January,True,False,False
20210111,11,1,1,2021,2,Monday,January,False,True,False
20210112,12,1,1,2021,2,Tuesday,January,False,False,False
20210113,13,1,1,2021,2,Wednesday,January,False,False,False
20210114,14,1,1,2021,2,Thursday,January,False,False,False
20210115,15,1,1,2021,2,Friday,January,False,False,False
20210116,16,1,1,2021,2,Saturday,January,True,False,False
20210117,17,1,1,2021,2,Sunday,January,True,False,False
20210118,18,1,1,2021,3,Monday,January,False,False,False
20210119,19,1,1,2021,3,Tuesday,January,False,False,False
20210120,20,1,1,2021,3,Wednesday,January,False,False,False
20210121,21,1,1,2021,3,Thursday,January,False,False,False
20210122,22,1,1,2021,3,Friday,January,False,False,False
20210123,23,1,1,2021,3,Saturday,January,True,False,False
20210124,24,1,1,2021,3,Sunday,January,True,False,False
20210125,25,1,1,2021,4,Monday,January,False,False,False
20210126,26,1,1,2021,4,Tuesday,January,False,False,False
20210127,27,1,1,2021,4,Wednesday,January,False,False,False
20210128,28,1,1,2021,4,Thursday,January,False,False,False
20210129,29,1,1,2021,4,Friday,January,False,False,False
20210130,30,1,1,2021,4,Saturday,January,True,False,False
20210131,31,1,1,2021,4,Sunday,January,True,False,False
20210201,1,2,1,2021,5,Monday,February,False,False,False
20210202,2,2,1,2021,5,Tuesday,February,False,False,False
20210203,3,2,1,2021,5,Wednesday,February,False,False,False
20210204,4,2,1,2021,5,Thursday,February,False,False,False
20210205,5,2,1,2021,5,Friday,February,False,False,False
20210206,6,2,1,2021,5,Saturday,February,True,False,False
20210207,7,2,1,2021,5,Sunday,February,True,False,False
20210208,8,2,1,2021,6,Monday,February,False,False,False
20210209,9,2,1,2021,6,Tuesday,February,False,False,False
20210210,10,2,1,2021,6,Wednesday,February,False,False,False
20210211,11,2,1,2021,6,Thursday,February,False,False,False
20210212,12,2,1,2021,6,Friday,February,False,False,False
20210213,13,2,1,2021,6,Saturday,February,True,False,False
20210214,14,2,1,2021,6,Sunday,February,True,False,False
20210215,15,2,1,2021,7,Monday,February,False,False,False
20210216,16,2,1,2021,7,Tuesday,February,False,False,False
20210217,17,2,1,2021,7,Wednesday,February,False,False,False
20210218,18,2,1,2021,7,Thursday,February,False,False,False
20210219,19,2,1,2021,7,Friday,February,False,False,False
20210220,20,2,1,2021,7,Saturday,February,True,False,False
20210221,21,2,1,2021,7,Sunday,February,True,False,False
20210222,22,2,1,2021,8,Monday,February,False,False,False
20210223,23,2,1,2021,8,Tuesday,February,False,False,False
20210224,24,2,1,2021,8,Wednesday,February,False,False,False
20210225,25,2,1,2021,8,Thursday,February,False,False,False
20210226,26,2,1,2021,8,Friday,February,False,False,False
20210227,27,2,1,2021,8,Saturday,February,True,False,False
20210228,28,2,1,2021,8,Sunday,February,True,False,False
20210301,1,3,1,2021,9,Monday,March,False,False,False
20210302,2,3,1,2021,9,Tuesday,March,False,False,False
20210303,3,3,1,2021,9,Wednesday,March,False,False,False
20210304,4,3,1,2021,9,Thursday,March,False,False,False
20210305,5,3,1,2021,9,Friday,March,False,False,False
20210306,6,3,1,2021,9,Saturday,March,True,False,False
20210307,7,3,1,2021,9,Sunday,March,True,False,False
20210308,8,3,1,2021,10,Monday,March,False,False,False
20210309,9,3,1,2021,10,Tuesday,March,False,False,False
20210310,10,3,1,2021,10,Wednesday,March,False,False,False
20210311,11,3,1,2021,10,Thursday,March,False,False,False
20210312,12,3,1,2021,10,Friday,March,False,False,False
20210313,13,3,1,2021,10,Saturday,March,True,False,False
20210314,14,3,1,2021,10,Sunday,March,True,False,False
20210315,15,3,1,2021,11,Monday,March,False,False,False
20210316,16,3,1,2021,11,Tuesday,March,False,False,False
20210317,17,3,1,2021,11,Wednesday,March,False,False,False
20210318,18,3,1,2021,11,Thursday,March,False,False,False
20210319,19,3,1,2021,11,Friday,March,False,False,False
20210320,20,3,1,2021,11,Saturday,March,True,False,False
20210321,21,3,1,2021,11,Sunday,March,True,False,False
20210322,22,3,1,2021,12,Monday,March,False,False,False
20210323,23,3,1,2021,12,Tuesday,March,False,False,False
20210324,24,3,1,2021,12,Wednesday,March,False,False,False
20210325,25,3,1,2021,12,Thursday,March,False,False,False
20210326,26,3,1,2021,12,Friday,March,False,False,False
20210327,27,3,1,2021,12,Saturday,March,True,False,False
20210328,28,3,1,2021,12,Sunday,March,True,False,False
20210329,29,3,1,2021,13,Monday,March,False,False,False
20210330,30,3,1,2021,13,Tuesday,March,False,False,False
20210331,31,3,1,2021,13,Wednesday,March,False,False,False
20210401,1,4,2,2021,13,Thursday,April,False,False,False
20210402,2,4,2,2021,13,Friday,April,False,False,False
20210403,3,4,2,2021,13,Saturday,April,True,False,False
20210404,4,4,2,2021,13,Sunday,April,True,False,False
20210405,5,4,2,2021,14,Monday,April,False,False,False
20210406,6,4,2,2021,14,Tuesday,April,False,False,False
20210407,7,4,2,2021,14,Wednesday,April,False,False,False
20210408,8,4,2,2021,14,Thursday,April,False,False,False
20210409,9,4,2,2021,14,Friday,April,False,False,False
20210410,10,4,2,2021,14,Saturday,April,True,False,False
20210411,11,4,2,2021,14,Sunday,April,True,False,False
20210412,12,4,2,2021,15,Monday,April,False,False,False
20210413,13,4,2,2021,15,Tuesday,April,False,False,True
20210414,14,4,2,2021,15,Wednesday,April,False,False,True
20210415,15,4,2,2021,15,Thursday,April,False,False,True
20210416,16,4,2,2021,15,Friday,April,False,False,True
20210417,17,4,2,2021,15,Saturday,April,True,False,True
20210418,18,4,2,2021,15,Sunday,April,True,False,True
20210419,19,4,2,2021,16,Monday,April,False,False,True
20210420,20,4,2,2021,16,Tuesday,April,False,False,True
20210421,21,4,2,2021,16,Wednesday,April,False,False,True
20210422,22,4,2,2021,16,Thursday,April,False,False,True
20210423,23,4,2,2021,16,Friday,April,False,False,True
20210424,24,4,2,2021,16,Saturday,April,True,False,True
20210425,25,4,2,2021,16,Sunday,April,True,False,True
20210426,26,4,2,2021,17,Monday,April,False,False,True
20210427,27,4,2,2021,17,Tuesday,April,False,False,True
20210428,28,4,2,2021,17,Wednesday,April,False,False,True
20210429,29,4,2,2021,17,Thursday,April,False,False,True
20210430,30,4,2,2021,17,Friday,April,False,False,True
20210501,1,5,2,2021,17,Saturday,May,True,True,True
20210502,2,5,2,2021,17,Sunday,May,True,False,True
20210503,3,5,2,2021,18,Monday,May,False,False,True
20210504,4,5,2,2021,18,Tuesday,May,False,False,True
20210505,5,5,2,2021,18,Wednesday,May,False,False,True
20210506,6,5,2,2021,18,Thursday,May,False,False,True
20210507,7,5,2,2021,18,Friday,May,False,False,True
20210508,8,5,2,2021,18,Saturday,May,True,False,True
20210509,9,5,2,2021,18,Sunday,May,True,False,True
20210510,10,5,2,2021,19,Monday,May,False,False,True
20210511,11,5,2,2021,19,Tuesday,May,False,False,True
